date,cash,value,601288.SH_volume_1_x,601398.SH_volume_2,601288.SH_volume_1_y,601988.SH_volume_2,002017.SZ_volume_1,600776.SH_volume_2,002194.SZ_volume_1_x,603118.SH_volume_2_x,002463.SZ_volume_1,603118.SH_volume_2_y,600062.SH_volume_1,603367.SH_volume_2,002234.SZ_volume_1,002746.SZ_volume_2,000686.SZ_volume_1_x,002926.SZ_volume_2,000810.SZ_volume_1,002463.SZ_volume_2_x,002792.SZ_volume_1_x,603118.SH_volume_2,601988.SH_volume_1,601998.SH_volume_2,600602.SH_volume_1_x,600756.SH_volume_2,600928.SH_volume_1,601860.SH_volume_2,600602.SH_volume_1_y,603383.SH_volume_2_x,300134.SZ_volume_1,603328.SH_volume_2_x,000686.SZ_volume_1_y,000783.SZ_volume_2,600756.SH_volume_1,603383.SH_volume_2_y,600446.SH_volume_1,600602.SH_volume_2,002194.SZ_volume_1_y,002463.SZ_volume_2_y,002792.SZ_volume_1_y,603328.SH_volume_2_y,rev
2021-11-29,259436831.62795708,209681292.170463,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.00044892835507759354
2021-11-30,259436831.62795708,210425694.41970393,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.00355016053905155
2021-12-01,259436831.62795708,211324056.3750713,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.004269259787141433
2021-12-02,259436831.62795708,210921502.67235377,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.0019049118667447962
2021-12-03,259436831.62795708,211846812.4556299,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.0043869864928540725
2021-12-06,259436831.62795708,209573361.99315816,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.010731577388958247
2021-12-07,259436831.62795708,214339050.57455266,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.022739953857065398
2021-12-08,259436831.62795708,209540376.2398556,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.022388241068689307
2021-12-09,259436831.62795708,213876526.3324727,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.020693625593444676
2021-12-10,259436831.62795708,215018602.77131313,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.005339886795547866
2021-12-13,259436831.62795708,209746359.73536268,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.02451993905642591
2021-12-14,259436831.62795708,212361635.4024296,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.012468753547697498
2021-12-15,259436831.62795708,208071473.29847363,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.020202152313557153
2021-12-16,259436831.62795708,207972132.90094095,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.00047743400841004924
2021-12-17,259436831.62795708,209345674.33151418,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.006604449410669178
2021-12-20,259840120.5280471,210615796.28638616,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,220000.0,-454500.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.00606710388895193
2021-12-21,259840120.5280471,211208115.68616742,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,220000.0,-454500.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.0028123218211792977
2021-12-22,316560345.413727,257901814.46987507,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.22107909363241274
2021-12-23,316560345.413727,254067471.68185404,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-0.01486745176997939
2021-12-24,316560345.413727,257938478.69505188,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,0.0,0.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,0.0,0.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,0.01523613781635591
