date,cash,value,601288.SH_volume_1_x,601988.SH_volume_2_x,600022.SH_volume_1,600808.SH_volume_2_x,601398.SH_volume_1,601998.SH_volume_2_x,600231.SH_volume_1,600569.SH_volume_2,601288.SH_volume_1_y,601398.SH_volume_2,601328.SH_volume_1,601988.SH_volume_2_y,601288.SH_volume_1,601998.SH_volume_2_y,000825.SZ_volume_1,600808.SH_volume_2_y,688033.SH_volume_1,688518.SH_volume_2,000831.SZ_volume_1,600111.SH_volume_2,000505.SZ_volume_1,600073.SH_volume_2,300619.SZ_volume_1,603667.SH_volume_2,600015.SH_volume_1_x,601169.SH_volume_2,600123.SH_volume_1,601101.SH_volume_2,000898.SZ_volume_1,600808.SH_volume_2,002897.SZ_volume_1,688556.SH_volume_2_x,002110.SZ_volume_1,600782.SH_volume_2,603688.SH_volume_1,688556.SH_volume_2_y,600015.SH_volume_1_y,601229.SH_volume_2,300841.SZ_volume_1,603882.SH_volume_2,rev
2022-02-24,98230627.87012118,41239943.71558915,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,0.0,0.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.26643628068155567
2022-02-25,98230627.87012118,38182222.95101313,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,0.0,0.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.07414463961598872
2022-02-28,98230627.87012118,36070320.81212412,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,0.0,0.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.05531113632641382
2022-03-01,98230627.87012118,45409379.517261155,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,0.0,0.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2589125490117057
2022-03-02,98230627.87012118,46177221.13822211,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,0.0,0.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.016909317615077413
2022-03-03,98230627.87012118,50204302.075466156,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,0.0,0.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.08720925248381217
2022-03-04,98230627.87012118,49425065.00627912,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,0.0,0.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.015521320623394064
2022-03-07,98811163.0563236,108173637.58634159,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.188639257684312
2022-03-08,99851294.2915388,117906241.25051074,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,110000.0,-141000.0,0,0,0.0,0.0,0.08997204754624999
2022-03-09,99851294.2915388,108110347.7613108,1940000.0,-1649100.0,960000.0,-1078200.0,0.0,0.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,110000.0,-141000.0,0,0,0.0,0.0,-0.08308206067214874
