date,cash,value,002961.SZ_volume_1,603093.SH_volume_2,002957.SZ_volume_1_x,688028.SH_volume_2_x,688030.SH_volume_1,688168.SH_volume_2_x,688022.SH_volume_1,688028.SH_volume_2_y,002017.SZ_volume_1,600776.SH_volume_2,600288.SH_volume_1,600602.SH_volume_2_x,601288.SH_volume_1,601398.SH_volume_2,002628.SZ_volume_1,600528.SH_volume_2,002234.SZ_volume_1_x,300761.SZ_volume_2,002234.SZ_volume_1_y,002746.SZ_volume_2,603328.SH_volume_1,603421.SH_volume_2,002474.SZ_volume_1_x,600797.SH_volume_2,000563.SZ_volume_1,600643.SH_volume_2,600446.SH_volume_1,603383.SH_volume_2,002957.SZ_volume_1_y,688022.SH_volume_2,600088.SH_volume_1,603000.SH_volume_2,002657.SZ_volume_1,600446.SH_volume_2,688066.SH_volume_1,688168.SH_volume_2_y,002474.SZ_volume_1_y,600602.SH_volume_2_y,002436.SZ_volume_1,603005.SH_volume_2,rev
2021-02-10,51030877.70648998,-5132805134.603909,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,-0.001726459714558204
2021-02-18,51030877.70648998,-5263220469.356781,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.02540819909052261
2021-02-19,51030877.70648998,-5456943980.151837,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.036807029445743655
2021-02-22,51030877.70648998,-5547593238.482703,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.016611726024782003
2021-02-23,51030877.70648998,-5425282729.2108345,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,-0.022047490508752765
2021-02-24,51030877.70648998,-5441941500.788239,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.0030705812782272357
2021-02-25,51030877.70648998,-5415118449.689101,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,-0.004928948812708112
2021-02-26,51030877.70648998,-5421552295.894638,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.0011881265876845237
2021-03-01,51030877.70648998,-5546509412.909602,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,0.023048217594356712
2021-03-02,51030877.70648998,-5475140840.233119,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1940000.0,-1099900.0,700000.0,-256500.0,290000.0,-317200.0,290000.0,-380400.0,490000.0,-846300.0,280000.0,-118200.0,0.0,0.0,0,0,0.0,0.0,250000.0,-142300.0,240000.0,-42800.0,0,0,300000.0,-3600.0,80000.0,-124900.0,-0.012867294971206866
